text,label
internet freedom gakbisa dipake ya padahal ngisi 25gb,0
hai kak maaf tidak nyaman langkah restart hp jika yuk info nomor indosat,1
sayang banget ya kok jaring ilang pas butuh ganggu min,0
min logo 4g nya tidak muncul saya tidak hubung internet mohon respon nya min,0
mhn sabar,0
im3 ganggu jangan 4g internetnya gk jalan samasekali,0
hari tidak ngider surabaya sekitar surabaya coret sisi sela,0
rt indosat sinyal nya jelek banget ilang ilangan,0
hp,0
indosat sinyal nya jelek banget ilang ilangan,0
hai kak sms premium cek atur handphone ya kak pilih atur aplikasi,1
tolong cek dm min,0
sudah dm ya min terima kasih,1
min data suka hilang doang pagi,0
min bales dm,0
ada indosat surabaya sudah jam sinyal hilang kalau muncul sinyal kon,0
hai kak maaf banget alam akses ya jangan khawatir bantu kak yuk kir,1
haloo beli paket internet gagal ya,0
min maaf nomor pascabayar daftar sms premium ya thanks,0
hai kak maaf banget tidak nyaman langkah coba setting jaring manual kemudi,1
terima kasih kak ito sukses kak ito salam dasa,1
okay kak warsito selamat nikmat layan indosat ooredoo ya terima kasih ros,1
woiiiiiiii sinyal ilang2 tokkkkkkkkk,0
halo min ya 3g ngga aktif 4gnya tunggu follow upnya ya terima kasih,0
hp,0
cek dm pleaseeee,0
anjeerrr app m3 napa lagi beli paket nggak bisaa min gimana minn app nyaaa,0
min td pagi dpt kuota bantu kemenag kuota dipake app aja ya mayan,0
males ya ngedm indosatcare karna jaring jelek mulu,0
tolong,0
kuota zona indosat udah gaada ya min,0
admin bantu konfirmasi ubah setting dan laku ganti,1
gua barusan td tu bner2 ilang tidak batangsamaskali tulis 4g atahu h tidak,0
batang ilang timbul sih asw dah,0
barusan gue ilang tidak batang wkwkwk muncul lg,0
saya langgan setia indosat perlu kota palembang tinggal kota ja,1
indosat si daftar paket gabisa mulu pulsa ngurang gmn cerita dahal tethering,0
yoo hilang jaring lu,0
min tolong cek dm,0
bales,0
tidak ngidupin data ya lg ganggu,0
hi ka maaf kendala kami saranin abai ya kak uli,1
rt indosat rumah 190mbps tp 2 sinyal doang koneksi dah lapor,0
indosat karawang ganggu min lot banget kemaren,0
mohon cek dm pulsa hilang duh gimana masa pulsa raib disuru isi survey,0
no indosat ilang sinyal yah,0
hai kak nadia mohon maaf kendala alami kait guna pulsa kakak cek via,1
halo kak tolong bantu dpt kredit 100k isi pulsa knp pulsa utama potong ya,0
hi kak fadlila tingkat layan indosat ooredoo m,1
hi kak maaf alam silah info nomor lokasi detail nama gedung jalan kel k,1
hai kak ardyan maaf ya akses alami pasti setting apn isi indosatgprs of,1
wahyucatur halo mass tolong ya bantu isi teliti terang tidak,0
tell me why knpa sinyal tidak stabil pake kuliah ama kerja pdhal nya d,0
indosat daerah cileungsi bogor kabupaten ngapa dah paket beliin banget,0
4x4 hi kak konfirmasi via dm ya kak titis,1
hai kak surya mohon maaf alam alami kait kendala alami saat sdh,1
hi kak risa balas via dm ya silah cek dmnya salam zia,1
tolong min gimana ya indosat eror nggak akses internet tolong min responnya,0
sudah balas via dm ya kak silah cek dmnya salam zia,1
hai kak mohon maaf alam alami kait kendala alami saat sdh infok,1
topless hi kak info kait kondisi kualitas sinyal info faktor yan,1
wu tidak panas tuh board nya pasang outdoor box,0
indosat yah udah minggu tidak internetan beli kuota mau chat wa aja kelua,0
wilayah purwokerto timur lancar jaya bbrp lambat,0
min signalnya suka bgt ilang2an ya tolong banget mah min bantu trims,0
kaget app nya indosat makan size lumayan gede banget aplikasi chat maklum lha,0
wahyucatur hai kak wahyu maaf tidak nyaman langkah kakak clear cache tutup aplikasi ya,1
hai kak maaf alam ya yuk coba laku setting manual jaring jika terkend,1
tolong cek dm min,0
klo niat main curang ngerugiin ya,0
pulsa potong sampai tidak titidak kecewa,0
lu urus rep lu aja gausa urus org k,0
suruh setting apn atahu network manual laku hasil nihil sedang pu,0
restart hape kali tidak normal,0
min internet lambat banget ya padahal kuota 32gb jaring 4g sama,0
kalo dari ke ni,0
telat kalo niat iya,0
amp gagal kirim tp w udh kirim,0
lu ngerti bahasa g sih aelah perka,0
pagi min internet indosat tidak ya tulis login indosatoredoo min,0
topless gantung hape nya banyak hape2 jaman komplit fitur2 jaring s,1
misteri pecah tidak bisa pakai jam 30 jam 00 wib da,0
kak gmna biar registrasi pake prime bayar pake pulsa,0
misteri pecah pakai tidak bisa pakai jam 30 jam,0
bang beda kulaitas sinyal kartu taruh hp modem,1
baik kak maaf tidak nyaman silah kakak coba setting manual jaring ya cara silah,1
curang dia min main loncat ngitung replynya akun total reply masih 6k moga orang sepert,0
info iring hijaudaun ku tetap sayang ketik set spasi kirim ke indosatcare,0
hai kak info lengkap balas via dm ya sila cek kak salam isky,1
kalo curang pake akun yabg tw,0
hi sinyal 4g cmn buka twt wa,0
rt indosat rumah 190mbps tp 2 sinyal doang koneksi dah lapor,0
hi ka maaf bgt nih kendala saat sdh bantu follow up tim ya mohon tunggu updatenya uli,1
kzl,0
mayan bgt bonus gb makasih,1
tidak kak karna sangkut kecuali gerai makan wakil,1
iy bnyak delay kirim nya gk cur,0
hai kak dyka mohon maaf alam alami kait kendala alami saat sdh,1
halo migrasi layan pascabayar prabayar dtg gerai wakil makasih,0
erde baik kak maaf tidak nyaman silah kakak coba setting manual jaring ya cara silah m,1
sudah bales min titidak,0
baik kak put bantu kece ya yuk infoin no hp lokasi detail ko,1
selamat siang jaring ya delay sinyal turun sinyal 4g tidak,0
aktif freedom longlife tulis tapi aktif sd aja tu gimana,0
curang nih replynya curang,0
benerin sinyal jng banyak cincong chatan aja susah,0
saeful hai kak saeful kendala respon via dm mohon cek jangan lupa jaga seh,1
cek dm ya kak,1
min cek dm trims,1
mohon cek dm ya,1
lagi kesel aja haloooooo,0
di telpon tidak terima telpon rubah atur telpon lite only,0
harus rela nonaktif penggilan telpon signal,0
hai kak paket dpt kuota utama ya kak bagi kuota lisa,1
akhir indosat jd lambat banget sih min ketar tir ngerjain tes web kampus,0
kok pulsa gue tiba tiba ya belum ada 400an gue ga ikut langgan sms apa loh,0
waduh aplikasi myim3 iklan pinjol sih faedah,0
baik kak renda mohon maaf alam silah informasi nomor nama daftar pu,1
hai kak maaf alam ya kait kendala alami bantu respon via dm ya kak salam kuk,1
halo min komplain saya beli paket freedom combo via apps myim3 pemba,0
halo bestie maaf nanya beneran kuota utama tidak dibagi2 trust issue,0
lapor tiket 57127575315 tidak baik gk s,0
hi kak david maaf alam sila lengkap data dm ya kak aga,1
min cek dm ya,1
rt indosat rumah 190mbps tp 2 sinyal doang koneksi dah lapor,0
id,0
hi kak david bantu konfirmasi via dm ya kak titis id,1
id nih balas dm buntu bawah lampir kuota mas,0
rt indosat rumah 190mbps tp 2 sinyal doang koneksi dah lapor,0
oit min ud urip gantung wifi sinyal e tidak ono ganggu kah indosat kab tabalong kals,0
hai kak maaf alam alami transfer pulsa laku in,1
min tolong ya indosat kumat sedot2 pulsa pulsa dr,0
hai kak yhadie mohon maaf kendala alami jika sms dekat sms,1
sms masuk 40x tolong stop,0
gapernah make tri wkwkw sinyal jelek,0
tolong cek dm yaa,1
famous followers demokrat tv statusbrew indosatcare tahufikhidayat aboutvirgos cravethought checa,0
tahu modem udah unlock nyoba pake kartu bang,1
theone misal ganti sim tsel om,0
hai kak jika kendala atahu kait layan yuk infoin detail keluh pertanyaa,1
sama kayak,0
pagi kak ike info tambah nih nomor hpnya mention hapus ya kak tidak disalahgunakan thanks marsha,1
maaf ya kak yuk clear chache aplikasi tutup aplikasi jalan sama jika mas,1
hai kak laku kece mohon tunggu updatenya kak thanks marsha,1
selamat pagi ini nomor kuota tidak akses internet ya sudah gab,0
min sleman ngelag banget ngopo tohhhhh astagfirullah kudu piee ben iso glory minnn minnn,0
eh beda e bias jrang buka sms tp norif nya gangfu bgt isi,0
nialler hai kak maaf alam ya mimin info kait kendala alami mimin bantu foll,1
ohh iya bener beda tipe kayak thank you responnya om thank you revie,1
ini sengaja bgt ngebom sms,0
nialler hi kak informasi dm ya kak salam yusi,1
kpn tunggu update asu dh bgt gua komplen dpt bgini aja gk lu asu modal bacot jan,0
gnti provider gk becus usaha nya modal bacot janji busuk kya asu nih,0
indosat kek naigjzisnsmxkxk kuota gue masih ada 5gb ya pls jgn ngajak ribut meuni ini teh ga bisa di pake loadi,0
min cek dm,1
koneksi kacau min,0
koneksi buruk,0
hai kak yuk setting manual jaring ubah pilih jaring otomatis jika belu,1
hai kak itok bantu cek yuk kirim caoture paket dm ya kami tunggu salam nay,1
wu blum meong n,0
hai kak balas via dm nih yuk cek dm salam fizi,1
liat website indosat paket family and friend gmn aktifinnya min,1
udah indosat lambat bgt buffer ada nih,0
hai kak maaf ats keluh alami agar bantu cek yuk infoin data detailn,1
dear selamat malam saya keluh kali cek kuota via apps muncul popup ti,0
hekeruter,0
halo bapuk ya,0
ak wu huawei b818,0
wu ini tipe support cat19 banyak harga jangkau cat4,0
cah gendeng hahahaha mending beli odu poe aja atuh laaaaahhh,0
dr kemarin beli paket knp tidak dipake ya duh indosat gin ya kualitas,0
wu bongkar ambil boardnya doang masukin outdoor box pasang lpda antenna dah dij,1
min tolong cek dm ya,0
rt indosat rumah 190mbps tp 2 sinyal doang koneksi dah lapor,0
larang wid,0
sinyal sich dah malam tetep aja ngeleg kaya gin jelek kualitas indosat,0
wu huawei cat huawei manager lock band wifi 5ghz cocok,1
oh aja sia sia make orbit ntar,0
internetnya lambat dah listrik padam,0
hi kak maaf ketidaknyamanan alami mohon info data nama nomor be,1
hai kak yuk infoin detail atahu kendala alami nomor ya kak via dm,1
hai kak maaf ats keluh alami agar bantu cek yuk infoin data detail,1
kucing ya wifi ac kah,0
kemarin suruh mulu tp gada piks piks nya ttp gitu aja trs ni jaring malem gaperna bener,0
betul pakai pjj anak biar tidak ganggu internet rumah amp manfaat,1
kak jaring gin yaaa,0
sinyal indosat joglo ko bar ya,0
hai kak marianda mohon maaf akses jaring alami optimal kami ber,1
hi ini sinyal full 4g paket data tumpeh2 kagak ayo kerjasamanya,0
hallo tidak beli paket,0
hi kak lucky maaf alam kait jaring nya kendala jika mohon k,1
kak dm barusan ya,1
hai min kuota malam apa kuota utama habis,0
hai kak royko maaf alam bantu yuk infoin nomor nama d,1
sudah bawannya antenna nya mungkin beda tipe krn tipe antena,1
prime,0
ni jaring napa sie malem gaperna bener,0
waktu beli orbit telkomsel ngga cepat trus orbit kartun,0
wu mentok maks mbps doang,1
baik kak terimakasih layan indosat ya apabila alami kendala atahu menanyaka,1
hai kak balas via dm ya cek dm nya kak salam dyko link dm,1
hai kak balas via dm ya cek dm nya kak salam dyko link dm,1
min kemarin isi kuota internet indosat manual sms im3paket udah say,0
hamdalah ok gue coba ya tidak gue dm,0
hai kak maaf alam yuk coba setting jaring manual ya kak pilih atur jaring,1
signal busuk banget,0
heh ajg inet kau taik,0
kemarin router rusak jadi beli router merk tenda kayak fot,0
kucing nih om si tenda,0
indosat kasihan gue gabisa liat tl samsek gimana cobak btw sambat jari,0
kak dm tera alamatsamanomor,0
modem orbit telkomsel bagus om daerah sulawesi cepat sampe mbps,1
dear beli ganti paket internet gagal ya sudah chat indira cs agen n,0
hai kak kait kondisi kakak alami yuk clear cache apl seri,1
bantu cek dm ya,1
hello isi paket my m3 ko blm proses y,0
maaf ya kak yuk infoin detail dm ya cek leo,1
advan tarik harga 400ribuan,1
paket unlimited cek kuota 9 gb cepat batas normal dipake twitter whatsa,0
tplink mr6400 rekomen om,1
nggak nyoba pake telkomsel orbit bang,1
rt indosat rumah 190mbps tp 2 sinyal doang koneksi dah lapor,0
indosat paket ko,1
indosat rumah 190mbps tp 2 sinyal doang koneksi dah lapor,0
tolong daerah bogor habis hujan parah banget jaring nya jelek,0
min cek dm,1
hai kak bayu mohon maaf kondisi alami ya yuk info nomor kendala nama lengkap sisa,1
hai kak fia maaf banget kendala bisa coba restart handphone coba ya kak,1
hmmm baguss sinyalnyq yak,0
indosat akhir2 jaring renyek vidcal buruk banget,0
hormat indosatooredoo nomor kirim pesan sms,0
hi kak detail info mimin dm kak salam bram,-1
wkwkw tai lu,0
halo sinyal angel to nggo ngegame online ping parah,0
tannnn hai kak maaf alam yuk coba merefresh hp clear cache tutup aplikasi amp n,1
kak ya pulsa sedot terus2an pas cek langgan apa2nya diunreg tidak tap,1
sian napa setan dateng dateng sian siun sian siun,0
aja kaga beda,0
oii lambat bgt jaring siang,0
mati listrik jaring jdi jelek jga gimana,0
hi kak coba setting jaring manual pilih operator pilih indosat sukses dap,1
halo ka cek dm ya,1
cek dm min,1
beberapa pakai indosat eh sinyal tidak buat internet 2g gimana min,0
gerangan si kawan etdah,0
bro sejak hut sinyal,0
min ya paket internet potong pulsa utama apa mas,0
hi kak dwiko maaf alam yuk coba off on hp sila coba kami infok,1
enggak aman aja dasar testimoni adek ku,0
kena angin dikit terbang sinyal,0
alih nya,0
min dm,0
mari alih k,0
selamat malam admin tolong cek dm ya min terima kasih,1
bayar tagih pascabayar alfamart agar cepat hubung agent silahk,0
halo sinyal lambat indosat,0
hi kak maaf alam alami cek yuk infoin nama nomer d,1
layan indosat trouble gimana beli paket internet udah coba ulang kali g,0
tsel,0
tolong cek dm ya kak,1
tolong robot ya,0
ambil rekening v,0
hai kak rendika bantu nih yuk info nama lengkap nomor detail kendala ap,1
jaring ganggu kah,0
halo gimana ya saya udah daftar paket duit udah potong gabisa paket,0
min cek dm,1
cek dm,1
hai kak bantu info paket nelpon telp rumah paket nelpon op,1
hai kak david kami bantu konfirmasi via dm ya kak sore koni cc id,1
min paket nelpon telpon rumah,0
id tulis bebas kuota habis tidak m,0
dm tolong balas,0
admin tolong cek dm ya,1
payah pelayanane,0
dear admin cek dm,1
hai kak kami konfirmasi via dm ya kak sore koni,1
min sinyal indosat terminal poncol semarang jelek parah situ kota,0
beli pulsa dah tidak masuk dua lempar tanggung terus mana,0
hai kak mohon maaf alam alami kait kendala alami saat sdh info,1
dm,0
yusuf hi kak khanif bantu nih yuk dm detail kendala atahu informasi butuh infoin,1
hi kak apriyan maaf alam kena kendala kakak alami mimin saran b,1
km opie kumis kah,0
hi kak kendala jaring lambat sila hapus sampah aplikasi stop aplikasi jalan ya kak,1
paket tidak aktif bulan gimana tolong daftar paket males,0
ganggu kh ko lambat bngt ya,0
hai kak novi mohon maaf ya alam kami saran coba pindah simcard hp pe,1
min nomer d hubung tidak yaa,0
bayar gopay transaksi gagal kendala kembali dana tidak,0
min cek dm,1
hai kak maaf alam untuk info kait masalah nomor balas via dm y,1
hi kak cek dm yuk rinta,1
min knp ya beli paket 100gb gagal ya pdahal muncul promonya d aplikasi,0
haduh indosat lambat bgttt si,0
layan indosat kecewa kait masalah tidak sinyal 2x24 jam gk sinyal n tidak baik,0
layan indosat ooredoo ya salam rinta 2,0
hi kak alvin maaf banget capturenya baca sistem apakah kakak maksud adala,1
indosat sinyal ilang ilang kemarin,0
hai kak naufal maaf bgt ya alam agar mimin bantu kece mohon dpt informasi deta,1
tolong hentiin sms hari ampe sms kek org tidak kerjaaan,0
hi kak cek nomor kakak tidak daftar konten apa ya yuk,1
min bales tuh,0
dear cara transfer pulsa indosat telkomsel gimana ya saya pakai sms dg fo,0
ind0sat lg eror tidak si,0
cek pesan,0
kembali kasih kak endang terima kasih layan indosat ooredoo jika,1
ook thx ya,0
sok atuh a,0
beb,0
kayak isi pulsa no utama masa aktif tolong bantu kuota kemendikb,0
dm dr kemarin,0
sudah tidak ubah,0
ngentot,0
hai kak maaf bgt ya kak yuk coba setting manual jaring ya cara pilih atur jaring,1
masih internet 2 mb s bahkan kadang tidak 1bar,0
buka gembok dlu tidak sih biar baca,0
up sat,0
halo min ko tmn unreg tidak yaa,0
hi kak maaf kendala nomor xxxx1576 xxxxx5031 xxxx8322 yuk ko,1
oya butuh informasi via whatsapp official ya kak,1
oke kak hanafi terimakasih setia produk indosat ooredoo jangan ragu hub,1
udah masuk min barusan gajadi komplain,0
tambah parah banget min tangan,0
baik kak terima kasih dm kirim mohon tunggu meresponnya salam nima,1
top up 2x 20rb terima cm 1x saldo udah potong 40rb pdhl sukses whyyyyyyyyyyyy,0
awikwok,0
hai kak arjun mohon maaf alam alami kait kendala alami saat sdh i,1
mhn balas dm tks,0
hapus paket gimana coba my im3 g indira jawab tidak nyambung nanya hsp,0
min paket 9rb 4gb beneran 4gb kah dapet 2gb ya cek kuota 2gb gimana,0
hai kak dodi maaf batas karakter bantu respon via dm yuk cek dmnya salam nima,1
hallo apakah atur langgan indosat hilang simcard urus kegal,0
hai kak nia maaf alam ya yuk coba laku setting manual jaring jika,1
hai indosat dr ya sinyal,0
siap,0
rozaq sama kak depan sila konfirmasi kak azes stayhomestayconnected,1
matur suwun,0
rozaq hi kak rozaq informasi dm ya kak azes,1
hi kak yuk cek dmnya rinta,1
ka tolong cek dm ya,1
admin tidak transfer pulsa bulan2 kemarin,0
angga hai kak angga aktivasi paket blackberry nih sila akses menu umb,1
ri nomor data pribadi bocor,0
baik kak daff bantu cek mohon tunggu info thanks rinta,1
aktivasi paket blackberry internet service nggak,0
dedew hai kak dedi balas via dm ya kak jangan lupa jaga sehat kakak keluarga t,1
tolong bantu min cek dm,1
tolong balas dm,0
seperti cs indosat bingung,0
hi kak yuk cek dm rinta,1
dedew hi kak bantu cek nomor terima aktif paket nih pasti nomor terima ti,1
dedew hai kak dedi balas via dm ya kak jangan lupa jaga sehat kakak keluarga t,1
cek dm min gift paket gagal mulu urgent nih,1
tolong sinyal area duri kepa kebon jeruk sinyal hilangan2 tidak org jd alami,0
hi kak detail konfirmasi via dm ya thanks reyna,1
udh bales ka,0
maaf bgt kak adhi bantu cek ya yuk dm nomor hp nama milik kartu aktif kartu capture,1
bhayuajie jika mohon bantu info nomor waktu detail jadi tanggal jam signal dat,1
bhayuajie hai kak maaf kendala ya silah coba setting manual jaring masuk men,1
nomor im3 tidak beli paket internet udah malam tidak,0
sinyal tiba2 ilang gua afk dadak kena ban bom ntar gua direport sih pagi2 bikin ma,0
hi kak informasi dm ya kak salam yusi,1
cek dm yaaa,1
hai kak latifah maaf kendala ya yuk info nomor nama daftar alamat tagih tanggal,1
haloo indosat tolong bantu saya email tagih indosat pasca bayar email udah,0
halo cek dm ya,1
konyol kartu ajor jaring sak koneksi e ajoor pwolllll apeeeesssss,0
hai kak endang paket yellow registrasi umb 111 atahu myim3 untuk bantu c,1
layan internet yellow im3 tidak sedia,0
min cek dm,1
kartu bwosok komplain ngga ono ubah blas,0
wkwkwk kerja mati,0
dm ki bde om restart jaring,1
hai kak sdh respon dm cek ya kak thanks marsha,1
ndk dm pancet ae ganok kembang,0
hai kak maaf alam rasa untuk detail yuk cek dm balas ya kak kim,1
hai kak maaf ya tidak nyaman bantu kece mohon detail vi,1
kirain aing doang,0
om lag om,0
kartu bwosok ngga recomend,0
halo kak tolong cek dm ya butuh bantu terimakasih,1
lelet banget internetnya,0
cek dm please,1
mhmd hai kak sena maaf alam rasa untuk detail yuk cek dm balas ya kak kim,1
jaring ya sinyal full lte tidak koneksi,0
kungfuu hai kak maaf kendala ya yuk infoin data nomor hp nama registrasi kartu,1
dan nyuruh restart gokil gokil kata hp kentang butut kali gua pake,0
maaf mulu udah kaya lebaran kaga sekali kasih gua nastar lu,0
hi kak andika maaf alami utk keluh akses data sila kakak setting jaring man,1
provider asu babi jing gk gulung tiker aja lu pd babi,0
hai kak mohon maaf kendala alami kami saran restart hp dlu ya kak coba aks,1
udah,0
kungfuu hai kak maaf ats keluh alami agar bantu cek yuk infoin data detailn,1
hobi ilang ilangan sinyal abia ujan,0
woy ping lu ah tolong lah,0
beli paket hot promo internet gabisa baik 3 atahupub aplikasi ada kah,0
said hi kak informasi dm ya kak salam yusi,1
darah udeh menang 0 boy tolong lahhh,0
gimana nomer lengkap info nomer web cek regis nomer tidak lengkap ta,0
betapa buruk alam customer service indosat saya solusi data say,0
hi kak informasi dm ya kak salam yusi,1
t k w s waspada mandiri ttd beda bentuk eharusnya kanan amp tak garis angga,0
waspada mandiri ttd beda bentuk eharusnya kanan amp tak garis anggap identik,0
haloo indosat tolong tanggap dm nya yaa,0
hai kak maaf alam yuk coba setting jaring manual ya kak pilih atur ja,1
jerico hai kak balas via dm ya yuk cek dmnya gery,1
sebel ah gua kau kemaren si merah ngadat sekarang kau,0
jaring internet indosat m3 lg yangguan apah ya,0
hai kak maaf alam yuk coba setting jaring manual ya kak pilih atur j,1
kasih solusi tidak pulsa potong data off posisi kartu 2g,0
tolong pnya paket internet internetnya tidak jalan sinyal 4g full,0
sinyal internet dadak e edge 4g kenapa bgini sih,0
tes,0
baik kak terima kasih dm kirim mohon tunggu meresponnya salam kim,1
hi kak akses sila off on hpnya coba dm nama lengkap nomor,1
cek dm woooooyyyyy,1
iya udah cek siang sayaa reedem 5gb 110mb tidak salah tuh,0
mohon maaf ya kak kevin kait kuota bonus saran silah cek 8 ya gery,1
cek dm dah gue infoin situ,1
hai kak mohon maaf sblmnya mohon dpt info nomor kendala sisa pulsa aktif lisa,1
ga salah nih reedem kuota 5gb skrg disa 100mb,0
sinyal lu jelek banget sumpah,0
dm,0
min tolong check dm yah thanks,0
hai kak maaf alam ya agar bantu cek yuk infoin nomor kendala na,1
gue pakai wifi paket hari gue tidak gue pake habis gimana si,0
sobat mari cdm,0
cek dm,1
tapi gb,0
halo kak beli pulsa 10k niat beli kuota 4gb 10k engga bener proses,0
ya alloh tidak sinya,0
hai kak maaf alam yuk coba setting jaring manual ya kak pilih atur j,1
coba 60,0
cek dm ya min makasih,1
emg ngajak ribut kartu udah putus tagih masuk,0
hi min mohon cek dm ya,1
ini jaring jakarta udh kek jaring akuarium sampah ping jumping2 boro2 ngerusuh lord,0
fauzi id hai kak fauzi bantu yuk info atahu keluh ya kak senang h,1
min tidak akses ya,0
min ko tukar im3 point paket lambat bgt paket nya yah,0
hai kak maaf alam rasa untuk detail yuk cek dm balas ya kak kim,1
hai kak anne maaf ya alam kami saran coba restart hp turun jaring,1
min ko tidak beli paket,0
yo indosatcare ayobantu retweet amp cekidot tokotamz pinbb 2bb19b17 jual sepatu baju aksesoris cewek makassar,0
kak habis beli pulsa tokopedia nah habis ngisi pulsa kuota hilang itu,0
masnyo hi kak mas maaf ketidaknyamanan alami mohon info data nama nomor ber,1
hai kak hanif mohon dpt info detail kendala nomor kendala sisa pulsa nama t,1
akhir2 indosat high latency ping banget ya min padahal,0
down lambat h sinyal bar kosong,0
nomer tidak kirim gift kuota nomer mym3 kenapa ya sudah 2hari,0
social distancing terap mari cegah tular covid langkah happy weeken,0
hai ka cek dm,1
tolong cek dm ya min,0
hai kak aplikasi baru sesuai fitur kak kapasitas lenih salam fadil,1
mohon bantuanya henti langgan main2 beberapakali coba gagal,0
mohon bantuanya tidak sengaja coba gratis main tidak pakai aplikasi,0
min sayaa isi pulsa pagi lwt jam gin kug masuk ya lapor mana y,0
min mohon cek dm,1
hi kak mohon maaf ketidaknyamanannya kakak detail jadi via dm ya terima kasih adi,1
masih tidak min dah min tidak promo promoan rugi tidak dipaketin kapok pake im3,0
ini indosat lagi main tiba2 sinyal ilang ntar bbrp menit muncul beli,0
hi kak maaf alam alami cek yuk infoin nama nome,1
weh min buset suruh nunggu mulu nunggu pulsa gua ampe abis nih cerita kaga balik balikin pulsa,0
halo knpa tbtb paket berhentiin padahal tidak etik unreg tidak etik apa t,0
cek dm kak,1
hai kak adi informasi info via dm yuk cek ree,1
gara2 bot kek wkwk,0
salah server tuh adminnya,0
gara2 ngetag protes wkwk,0
lah,0
ini adminnya dm wkwk,0
user,0
untuk riset atahu compare,0
yoii,0
diri guna im3,0
nah knapa kaga orang aja gitu nanganin males ngejelasin dar,0
kak dm atahu dm akun bantu adminnya amp pu,1
ada atur khusus aktif jaring 5g jaring indosat coba balaikota solo un,0
udah dm keluh kemarin tidak respon tolong bantu kak,1
amir hi kak amir maaf banget nih alam kakak terunreg by sis,1
min sinyal jeblok banget sampe tidak internetan lanjay tolong cek,0
hi min prosedur ganti kartu sim card 3gke 4g sayaaratnya biaya,0
kembali kuota unreg,0
